id,status,timbre
32JSn3DkBLThCzGIkLt9Fd,200,"[0.084, 0.085, 0.06, 0.07, 0.146, 1.0, 0.786, 0.306, 0.084, 0.049, 0.05, 0.072]"
1lOCs3Mke2PcVi7ywFU5ik,200,"[0.171, 0.113, 0.108, 0.108, 0.283, 0.288, 1.0, 0.998, 0.9, 0.898, 0.181, 0.028]"
4v5fwTTwFzHxSnPYcwhS5F,200,"[1.0, 0.917, 0.193, 0.178, 0.206, 0.23, 0.191, 0.189, 0.201, 0.208, 0.231, 0.336]"
0PNfHgFUrwsbr3GkbjRMM3,200,"[0.546, 0.601, 1.0, 0.678, 0.879, 0.802, 0.499, 0.571, 0.512, 0.459, 0.922, 0.494]"
14sVzGKK7AhyfIEy9mmzTx,502,"0"
0Kya1Dd0nt8E6LyptmunUO,200,"[0.002, 0.016, 0.003, 0.002, 0.025, 0.002, 0.005, 0.008, 0.094, 1.0, 0.099, 0.003]"
2wLaMsWd5XTBRWarjHJTnT,200,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0tAybWoLY3zXnkJNP58HoG,200,"[0.42, 0.981, 0.836, 0.832, 1.0, 0.991, 0.808, 0.51, 0.715, 0.614, 0.495, 0.32]"
4CSiITkZ1CDRvVtKXnOvtf,200,"[0.965, 1.0, 0.992, 0.92, 0.848, 0.788, 0.612, 0.436, 0.331, 0.231, 0.211, 0.195]"
3sM9GVOWsE0edqg3hnA740,200,"[0.019, 0.029, 0.992, 0.988, 0.08, 1.0, 0.066, 0.029, 0.028, 0.028, 0.028, 0.015]"
59UXyZghMV08Ue2l2DfM7w,200,"[0.263, 0.576, 0.306, 0.169, 0.314, 0.601, 0.984, 1.0, 0.505, 0.461, 0.585, 0.349]"
3gdpTAkVSRwvko0fEdcBVQ,200,"[1.0, 0.905, 0.799, 0.778, 0.758, 0.751, 0.71, 0.719, 0.684, 0.703, 0.614, 0.523]"
7jdW71qmji6y3V0r5gaLcM,200,"[0.756, 1.0, 0.847, 0.823, 0.839, 0.815, 0.698, 0.783, 0.924, 0.735, 0.717, 0.729]"
5qkkzUUB0jt2IKPhe3jEzv,200,"[1.0, 0.89, 0.747, 0.74, 0.786, 0.77, 0.749, 0.769, 0.791, 0.72, 0.571, 0.328]"
